year,quarter,total_tweets,price_pos,price_neg,squality_pos,squality_neg,goodsq_pos,goodsq_neg,cool_pos,cool_neg,exciting_pos,exciting_neg,innov_pos,innov_neg,socresp_pos,socresp_neg,comm_pos,comm_neg,friendly_pos,friendly_neg,personalrel_pos,personalrel_neg,trust_pos,trust_neg,Price_net,Gquality_net,Goodsq_net,Value_Driver,Cool_net,Innovative_net,Exciting_net,SocResp_net,Brand_Driver,Community_net,Friendly_net,PersonalRel_net,Trustworthy_net,Relationship_Driver,Brand_Reputation,Price_net_zscore,Gquality_net_zscore,Goodsq_net_zscore,Value_Driver_zscore,Cool_net_zscore,Innovative_net_zscore,Exciting_net_zscore,SocResp_net_zscore,Brand_Driver_zscore,Community_net_zscore,Friendly_net_zscore,PersonalRel_net_zscore,Trustworthy_net_zscore,Relationship_Driver_zscore
2020,1,95,5,2,10,1,16,1,5,0,3,0,51,3,0,0,3,2,6,1,2,1,9,0,3,9,15,9.0,5,48,3,0,14.0,1,5,1,9,4.0,27.0,0.503533612870859,0.7032811077704012,1.693751347071904,1.5670735647044691,1.8521372441409465,1.6390001070554425,-0.14655259544013724,-0.8091735937126872,1.5634811515619755,0.2711334838535394,0.9032906873947423,-0.8169918776556716,1.4712778916772156,0.7109955737431514
2020,2,80,2,0,10,1,8,2,4,0,9,0,54,2,0,0,6,0,3,0,4,0,6,1,2,9,6,5.666666666666667,4,52,9,0,16.25,6,3,4,5,4.5,26.416666666666668,0.03873335483621989,0.7032811077704012,-0.36158736622883336,0.142461233154952,1.1786327917260568,1.921992931295231,1.9638047788978399,-0.8091735937126872,2.1437421975025024,2.595134774026735,0.10036563193274914,0.16339837553113432,0.21018255595388805,0.9953938032404118
2020,3,58,4,1,4,0,14,1,2,0,7,2,31,2,2,0,2,0,3,1,7,0,3,0,3,4,13,6.666666666666667,2,29,5,2,9.5,2,2,7,3,3.5,19.666666666666668,0.503533612870859,-0.7032811077704012,1.2370094107828513,0.5698449326198072,-0.1683761131037224,0.29478419191644656,0.5568998626725218,0.4855041562276123,0.4029590596809215,0.7359337418881785,-0.3010968957982474,1.1437886287179402,-0.42036511190777576,0.4265973442458908
2020,4,66,6,2,4,0,6,3,2,0,1,1,32,0,1,0,0,0,4,0,9,0,7,0,4,4,3,3.6666666666666665,2,32,0,1,8.75,0,4,9,7,5.0,17.416666666666664,0.9683338709054979,-0.7032811077704012,-1.0467002706624124,-0.7123061657747586,-0.1683761131037224,0.507028810096288,-1.2017312826091258,-0.16183471874253744,0.20953871103407917,-0.19366677418109962,0.5018281596637457,1.7973821308424776,0.8407302238155518,1.2797920327376724
2021,1,45,6,1,5,0,4,0,1,0,4,1,25,1,2,0,1,0,1,0,3,0,2,0,5,5,4,4.666666666666667,1,24,3,2,7.5,1,1,3,2,1.75,13.916666666666668,1.4331341289401371,-0.4219686646622407,-0.818329302517886,-0.2849224663099032,-0.841880565518612,-0.05895683838328921,-0.14655259544013724,0.4855041562276123,-0.11282853671065803,0.2711334838535394,-0.7025594235292439,-0.16339837553113432,-0.7356389458386077,-0.568796458994521
2021,2,39,2,2,4,0,6,2,3,0,1,0,22,1,1,0,0,0,0,0,1,0,1,0,0,4,4,2.6666666666666665,3,21,1,1,6.5,0,0,1,1,0.5,9.666666666666666,-0.8908671612330583,-0.7032811077704012,-0.818329302517886,-1.1396898652396137,0.5051283393111672,-0.27120145656313066,-0.8500050535527963,-0.16183471874253744,-0.3707223349064478,-0.19366677418109962,-1.1040219512602405,-0.8169918776556716,-1.0509127797694395,-1.2797920327376724
2021,3,38,3,1,2,0,10,0,2,0,5,0,15,2,0,1,0,0,4,0,2,0,2,0,2,2,10,4.666666666666667,2,13,5,-1,4.75,0,4,2,2,2.0,11.416666666666668,0.03873335483621989,-1.265905993986722,0.5518965063492721,-0.2849224663099032,-0.1683761131037224,-0.8371871050427079,0.5568998626725218,-1.4565124686828368,-0.8220364817490798,-0.19366677418109962,0.5018281596637457,-0.490195126593403,-0.7356389458386077,-0.4265973442458908
2021,4,75,7,2,11,0,14,0,4,0,2,0,26,1,4,0,0,1,6,0,9,1,10,0,5,11,14,10.0,4,25,2,4,8.75,-1,6,8,10,5.75,24.5,1.4331341289401371,1.265905993986722,1.4653803789273776,1.9944572641693243,1.1786327917260568,0.011791367676657944,-0.49827882449646677,1.7801819061679116,0.20953871103407917,-0.6584670322157388,1.3047532151257388,1.4705853797802089,1.7865517256080476,1.7063893769835632
2022,1,34,1,0,5,0,8,0,2,0,9,1,4,1,4,0,0,3,0,1,2,3,7,0,1,5,8,4.666666666666667,2,3,8,4,4.25,-3,-1,-1,7,0.5,9.416666666666668,-0.4260669031984192,-0.4219686646622407,0.09515457006021939,-0.2849224663099032,-0.1683761131037224,-1.5446691656421794,1.6120785498415104,1.7801819061679116,-0.9509833808469748,-1.5880675482850168,-1.505484478991237,-1.4705853797802089,0.8407302238155518,-1.2797920327376724
2022,2,34,1,2,4,0,7,1,1,0,3,0,20,0,1,0,0,0,2,1,2,0,2,0,-1,4,6,3.0,1,20,3,1,6.25,0,1,2,2,1.25,10.5,-1.3556674192676974,-0.7032811077704012,-0.36158736622883336,-0.997228632084662,-0.841880565518612,-0.34194966262307785,-0.14655259544013724,-0.16183471874253744,-0.43519578445539525,-0.19366677418109962,-0.7025594235292439,-0.490195126593403,-0.7356389458386077,-0.8531946884917816
2022,3,36,0,1,7,0,3,0,1,0,1,0,15,3,0,0,0,1,7,0,2,0,1,0,-1,7,3,3.0,1,12,1,0,3.5,-1,7,2,1,2.25,8.75,-1.3556674192676974,0.14065622155408022,-1.0467002706624124,-0.997228632084662,-0.841880565518612,-0.907935311102655,-0.8500050535527963,-0.8091735937126872,-1.1444037294938172,-0.6584670322157388,1.7062157428567353,-0.490195126593403,-1.0509127797694395,-0.2843982294972605
2022,4,40,1,1,14,0,8,3,0,0,1,0,21,2,2,1,0,0,2,1,4,0,3,0,0,14,5,6.333333333333333,0,19,1,1,5.25,0,1,4,3,2.0,13.583333333333332,-0.8908671612330583,2.1098433233112037,-0.5899583343733598,0.42738369946485516,-1.5153850179335018,-0.412697868683025,-0.8500050535527963,-0.16183471874253744,-0.693089582651185,-0.19366677418109962,-0.7025594235292439,0.16339837553113432,-0.42036511190777576,-0.4265973442458908
